crim crie	參差/㠁嵯
vit sia	一些
vit ceih	一切
vit jiionnx	一種
vit bran	一斑/一般
vit grauh	一覺
denn denn	丁丁/叮叮
drenn drenn	丁丁
mwk kkii	万俟
sam twi	三台
sam guan	三觀
xxiiannx ttieu	上朝
xxiiannx hhrauh	上校
xxiiannh iioh	上諭
hhrah hwix	下海
hhrax ccwih	下載
biit xiinn	不勝
biit ppwt	不悖
biit grim	不禁
biit vieuh	不要
biit cak	不錯
xxiinn siiannh	丞相
ppennx hhrann	並行
diiunnh viih	中意
diiunn hhrauh	中校
diiunnh dek	中的
diiunnh kwnnx	中肯
diiunn hhann	中行
jiiox vieuh	主要
gan leux	乾了
kkrien nnuuon	乾元
gan gnie	乾兒
gan biinn	乾冰
gan kwk	乾咳
gan qiiannh	乾唱
gan vwux	乾嘔
gan hhau	乾嚎
kkrien kuwn	乾坤
gan mwih	乾妹
gan mra	乾媽
kkrien van	乾安
gan xi	乾屍
gan hhanx	乾旱
gan bwi	乾杯
gan ko	乾枯
gan ccre	乾柴
gan seix	乾洗
gan hhak	乾涸
gan cciannx	乾淨
gan kat	乾渴
gan xip	乾溼
gan srip	乾澀
gan xieu	乾燒
gan saux	乾燥
gan dia	乾爹
gan sriiannx	乾爽
gan piet	乾癟
gan pprak	乾白
gan dwnnx	乾等
gan biinx	乾粉
gan liiann	乾糧
gan hhunn	乾紅
gan sii	乾絲
kkrien hhuenh	乾縣
gan hauh	乾耗
gan gniiuk	乾肉
gan cyeih	乾脆
gan hrua	乾花
gan liet	乾裂
gan baih	乾貝
gan huah	乾貨
gan twuh	乾透
gan lak	乾酪
gan ttiionnx	乾重
kkrien liinn	乾陵
kkrien liiunn	乾隆
gan ppiionx	乾飯
gan menh	乾麪
hiio zia	于嗟
riio ttenh	于闐
giik ttwix	亟待
gann siiuh	亢宿
grau iak	交易
grau dih	交質
gnin jiionnx	人種
gnin dih	人質
grim xxiiannh	今上
grim dieu	今朝
lenn hho	令狐
iix rye	以為/以爲
ttiiunnh hhrah	仲夏
hiiu grah	休假
hiiu ttiiw	休屠
ttanx sriix	但使
diioh kwux	住口
diioh zyex	住嘴
ttiioh siiuk	住宿
ttiioh demh	住店
diioh xiiux	住手
hha jiionnx	何種
ppiit grauh	佛教
zak rye	作爲
sriix iionnh	使用
sriih zet	使節
sriih guanh	使館
lwi sriih	來使
ttunnh ccuk	侗族
ttunnh xyx	侗水
giionn ppiionnx	供奉
ppien ppien	便便
ciiok sriix	促使
baux ccann	保藏
sinh hhrem	信函
cann hhet	倉頡
dauh sriioh	倒數
dauh sriiox	倒數
dauh qia	倒車
ttiik dwk	值得
ttiih gnit	值日
ttiik ccien	值錢
grax sriix	假使
grah gnit	假日
grah kkii	假期
pien xieux	偏少
ttenn qia	停車
biioh yet	傅說
ppannh miionx	傍晚
ttyen xxiinn	傳承
ttyen tonnh	傳統
ttyenh giih	傳記
ttyen xyet	傳說
ttyen kwi	傳開
ppok iah	僕射
ttronnh ttunnh	僮侗
ttronnh ccuk	僮族
ttronnh taih	僮泰
ttiiw ccann	儲藏
nnuuon ttieu	元朝
qiiunn ttiik	充值
qiiunn ppiinh	充分
ccyen xiinnh	全勝
liiannx jiionnx	兩種
gunn sriih	公使
denx dannh	典當
denx dih	典質
zwih genh	再見
guanh iix	冠以
guanh ssii	冠詞
guanh guun	冠軍
vuuon kkiio	冤句
qyt sriih	出使
qyt crei	出差
qyt cre	出差
qyt biiot	出發
hhwm sriioh	函數
biin briet	分别
ppiinh ziix	分子
biin ziix	分子
biin hhann	分行
cet gat	切割
ceih qqit	切實
cet pox	切普
cet ruunh	切韻
panh duanh	判斷
cieh krak	刺客
cieh sret	刺殺
ccen ven	前燕
ccen ccannh	前藏
xiinnh ttiiannh	勝仗
xiinn gnimh	勝任
xiinnh lih	勝利
xiinnh kuuonh	勝券
xiinnh ttih	勝地
lauh guun	勞軍
bwk ttieu	北朝
bwk ven	北燕
kiio briet	區別
nwm hhrah	南下
nwm ttieu	南朝
nwm ven	南燕
jiem buk	占卜
ziik sriix	即使
viemh voh	厭惡
srim xiiann	參商
srim siiuh	參宿
cwm sriioh	參數
cwm iiwh	參與
cwm guan	參觀
cwmh gox	參鼓
biionx viinnh	反應
biionx siiannh	反相
biionx piiuk	反覆
kwux hhauh	口号
gwuh dannh	句當
giioh ttwuh	句讀
jiex ttuk	只讀
ttieuh huanh	召喚
xxieuh gunn	召工
kax hhan	可汗
twi jiiu	台州
riiux dyenx	右轉
hhauh liannh	号令
hhauh ttieuh	号召
hhauh mrax	号碼
hhauh grok	号角
gak jiionnx	各種
ttunn hauh	同好
ttunn jiionnx	同種
miann xiinnh	名勝
miann ziiannh	名將
twn venh	吞嚥/吞咽
jiiu iak	周易
jiiu ttieu	周朝
mriannh liannh	命令
gau ieu	臯陶/咎繇
ven hhwu	咽喉
ven ppwux	咽部
ven vrim	咽音
grannx vet	哽咽/哽噎
ttann ttieu	唐朝
xiiann ttieu	商朝
xiiann gox	商賈
dep huet	喋血
hiix hauh	喜好
xxien riio	單于
dan tteux	單挑
xxienh hhuenh	單縣
dan tteuh	單調
vo ho	於戲/嗚呼
xxieih hhap	噬嗑
hhuwi piiuk	回覆
hhuwi hhuwt	回鶻
vin ryeh	因爲
goh siiannh	固相
kryen ttih	圈地
kryen ziix	圈子
kkuuonx iiannx	圈養
ryen kryen	圓圈
tox ttiiak	土著
liionnx ttuanx	壟斷
hhrax xiiann	夏商
hhrah ten	夏天
hhrah gyh	夏季
hhrax ttieu	夏朝
da xieux	多少
da sriioh	多數
da jiionnx	多種
ttaih sriih	大使
ttaih ziiannh	大將
ttaih hhrauh	大校
ttaih hhan	大汗
ttaih hhanh	大汗
ttaih ven	大燕
ttaih hhann	大行
ttaih hhrann	大行
ttaih ppiak	大辟
ten twi	天台
taih xiiuh	太守
taih gramh	太監
taih hhann	太行
kiit dan	契丹
keih viiak	契約
ket kuat	契闊
haux qiiwh	好處
siannh zwnn	姓曾
vrye ie	委蛇/蜲蛇
laux laux	姥姥/老老
laux ia	姥爺
lauh vwix	嫪毐
ziix niiwx	子女
griet giionnx	孑孓
hrauh tteih	孝弟/孝悌
hhrok hhrauh	學校
sunnh ttieu	宋朝
zonn grauh	宗教
giiunn ttenh	宮殿
zwix iiw	宰予
zwix siiannh	宰相
iionn ieh	容易
siiuk xiah	宿舍
hhan grah	寒假
baux ccannh	寶藏
ziiannh sryh	將帥
ziiannh liannx	將領
zuwn ttiionnx	尊重
duwih viinnh	對應
xieuh gnie	少兒
xieuh xiiann	少商
xieuh nen	少年
xieux sriioh	少數
xieux riiux	少有
xieuh hhrauh	少校
xieuh qiionn	少衝
xieux liiannh	少量
xieuh vrim	少陰
xieuh iiann	少陽
qiak ttoh	尺度
giiw ttiioh	居住
hhruah sren	崋山/華山
ccuwi nnuwi	崔嵬
gunn hhann	工行
zax ttyenh	左傳
zax dyenx	左轉
cre sriix	差使
cra briet	差別
crie ttie	差池
cra iih	差異
cre iih	差異
cra cak	差錯
diiannh hhauh	帳号
ppriann piion	平反
ppriann kkieuh	平翹
ppriann tteuh	平調
nen diiannx	年長
biann jiiu	并州
giii hho	幾乎
giiix jiionnx	幾種
ttak jie	度支
xiiwh giii	庶幾
ien cciannh	延請
ttan qyt	彈出
ttan hhwk	彈劾
hhwnx xieux	很少
hhwux lwi	後來
hhwux huwix	後悔
hhwux ven	後燕
hhwux ccannh	後藏
cciionnh ziix	從子
ciionn iionn	從容
ppiiuk danh	復旦
ppiiuk biak	復辟
diix tteuh	徵調
dwk cauh	德操
dwk hhrannh	德行
bit xiinnh	必勝
cuwnx ttak	忖度
jiih cauh	志操
kruaih lak	快樂
kiionnh prah	恐怕
kiionnx kkiioh	恐懼
kiionnx ssip	恐襲
huwih guah	悔過
ppwt luwnh	悖論
ppwt nnriak	悖逆
cciann tteuh	情調
vak xieuh	惡少
siiannx vieuh	想要
vwih hauh	愛好
cwmx ttiionnx	慘重
vuuih lauh	慰勞
kwnx ceih	懇切
viinn siannh	應姓
viinnh duwih	應對
viinn rye	應爲
viinn dann	應當
viinnh jiionn	應鐘
vauh huwix	懊悔
vaux naux	懊惱
sriiwx ccwih	所在
pien jiiu	扁舟
ppenx ciiak	扁鵲
kkriex hhrauh	技校
ttwu hhann	投行
ttwu hhronn	投降
ppaux iiannx	抱養
jieu hhann	招行
jieu hhronn	招降
tteux jienh	挑戰
teu bat	挑撥
tau tat	挑達
teu syenx	挑選
pprei hhannh	排行
tuwi daux	推倒
qy qyt	推出
qy ttauh	推導
tuwi guannx	推廣
tuwi krau	推敲
tuwi pox	推普
qy liix	推理
qy giiwx	推舉
qy zenh	推薦
tuwi hhrann	推行
qy syenx	推選
cip cip	揖揖
cryex ttak	揣度
ryenh grau	援交
ruuon inx	援引
xxienh ttiiann	擅長/擅場
cau zak	操作
cauh siannh	操姓
cauh ttii	操持
cauh hhrannh	操行
pran ruuon	攀援
jie ryenh	支援
gwix huwih	改悔
jiannh ttiih	政治
hhrauh lyt	效率
giiuh ryenh	救援
grauh jiiox	教主
grauh hhrok	教學
grauh sri	教師
grauh tto	教徒
grau xxiiuh	教授
grauh xxiiuh	教授
grau xiiw	教書
grau hhuaih	交會/教會
grauh hhuaih	教會
grau dek	教的
grauh ttiann	教程
grauh iiuk	教育
grau kuah	教課
grauh diiannx	教長
grauh iiannx	教養
sriioh cciih	數字
sriioh hhrok	數學
sriiox sriioh	數數
srok brak	數百
sriioh liiannh	數量
leu liix	料理
ttuanx leux	斷了
ttuanx ccyet	斷絕
duanx ccyet	斷絕
ieh riio	施于
ppann tenn	旁聽
ppann guan	旁觀
liiwx xiah	旅舍
zaux ttieu	早朝
mriann ttieu	明朝
iak iionn	易容
ieh iionn	易溶
ieh iionnh	易用
iak genn	易經
qyn hhrah	春夏
xxii gren	時閒
zinh ttieu	晉朝
griannx hhrannh	景行
xiiwx grah	暑假
ppauh tto	暴徒
ppauh jiannh	暴政
ppauh zwux	暴走
ppauh riiox	暴雨
ppuk loh	暴露
kiiok tteuh	曲調
xiiw hhrem	書函
xiiw hhrueh	書畫
ccau cwm	曹參
ccau cauh	曹操
zwnn srim	曾參
zwnn siannh	曾姓
ccwnn genn	曾經
zuaih haux	最好
zuaih xieux	最少
guaih gei	會稽
guaih geih	會計
nnuuot jie	月支/月氏
riiux kunnh	有空
ttieu ttwih	朝代
ttieu hiiannh	朝向
dieu ssiak	朝夕
ttieu ppiionnx	朝奉
ttieu ttenn	朝廷
ttieu breih	朝拜
ttieu ppiiuk	朝服
ttieu ttiiak	朝着
ttieu kkrinh	朝覲
ttieu cciannh	朝請
ttieu iiann	朝陽/潮陽
dieu iiann	朝陽
dieu hhra	朝霞
dieu sien	朝鮮
liix ttieu	李朝
dunn guan	東莞
gwux kiix	枸杞
mwux jiionnx	某種
syn vrip	栒邑
hhrauh nuwih	校內
grauh kwmh	校勘
hhrauh riiux	校友
hhrauh ruuon	校園
hhrauh jiix	校址
grauh ttiiann	校場
hhrauh nnuaih	校外
hhrauh guan	校官
hhrauh vuuih	校尉
grauh duwih	校對
hhrauh huui	校徽
hhrauh kriannh	校慶
hhrauh biiann	校方
hhrauh ppiiuk	校服
grauh iiannh	校樣
hhrauh ga	校歌
grauh jiannh	校正
grauh jynx	校準
hhrauh xiah	校舍
hhrauh hrua	校花
hhrauh caux	校草
grauh hhrek	校覈
hhrauh gye	校規
grauh dennh	校訂
hhrauh huunh	校訓
hhrauh diiannx	校長
grauh nnriemh	校驗
zunn jiionnx	椶種
gwih lyt	概率
lak ttenn	樂亭
nnrok giioh	樂句
lak ruuon	樂園
nnrok guan	樂官
lak sren	樂山
lak viih	樂意
nnrok gwmx	樂感
nnrok kiiok	樂曲
nnrok nniiih	樂毅
nnrok ciann	樂清
nnrok jiiann	樂章
lak guan	樂觀
bieu jiih	標識
prok soh	樸素
xxiioh xxiiannx	樹上
xxiioh ganh	樹幹
xxiiox lip	豎立/樹立
cih sriioh	次數
cih vieuh	次要
hwp xyx	欱水
hwp ziiux	欱酒
huan lak	歡樂
jiannh ccwix	正在
jiannh haux	正好
jiann nnuuot	正月
jiann srok	正朔
ciex qiiwh	此處
ppoh sriioh	步數
ppoh hhrann	步行
sret hhronn	殺降
denh hhwux	殿後
denh guun	殿軍
mwux hhrauh	母校
ppih lin	比鄰
kiiih siiannh	氣相
mrin qyen	汶川
guet duanh	決斷
kiiih qia	汽車
ziiw kkiiw	沮渠
jiioh sriiwh	注疏
jiioh ttiionnx	注重
iiann hhann	洋行
hhunn ttunn	洪洞/紅銅
hwix siiannh	海相
iak siiannh	液相
ciann ttieu	清朝
ciann hhrua	清華
criik liiann	測量
xiiann xiiann	湯湯
guwt gei	滑稽
hanh ttieu	漢朝
hanh ccannh	漢藏
ttam ttwi	澹臺
zeix nwm	濟南
zeix nenn	濟寧
zeix xyx	濟水
huax kryen	火圈
huax qia	火車
miio iak	無射
jieuh siiannh	照相
ven griann	燕京
ven guwk	燕國
venh ziix	燕子
ven sren	燕山
ven ruuann	燕王
ven grau	燕郊
rye jiiox	為主/爲主
ryeh leux	爲了
ryeh hha	爲何
ryeh ciex	爲此
rye nan	爲難
rye xiiux	爲首
nniiu bannx	牛蒡
miit jiionnx	物種
kauh lauh	犒勞
kkryen ziann	狋氏
liix luwnh	理論
piion hhauh	番号
pan nniio	番禺
dann zak	當作
dann ttiih	當值
dannh poh	當鋪/當舖
dannh hhann	當行
pprak jiionnx	白種
hhuann xxiiannh	皇上
gramh lih	監利
ttiik hhrah	直下
siiann hhoh	相互
siiann ppanx	相伴
siiann ssiix	相似
siiannh ryh	相位
siiann ttyen	相傳
siiannh gunn	相公
siiannh crek	相冊
siiann ttunn	相同
siiannh guwk	相國
siiannh xxiann	相城
siiann zax	相左
siiannh biiox	相府
siiann ppwih	相悖
siiann viinnh	相應
siiann puk	相撲
siiannh kuuann	相框
siiannh giii	相機
siiann bix	相比
siiannh ppiiox	相父
siiannh ia	相爺
siiannh penh	相片
siiann ppiio	相符
siiannh ppox	相簿
siiannh jiex	相紙
siiann qiiwx	相處
siiann cin	相親
siiannh brienh	相變
siiannh mrauh	相貌
siiann tunn	相通
siiann ppiionn	相逢
siiann lin	相鄰
siiann grenh	相間
siiannh mienh	相面
siiann lyh	相類
siiannh xiiwx	相鼠
sriannx liiak	省略
kan xiiux	看守
kan gra	看家
jin siiannh	眞相
diiak zriiann	着裝
xxyeh grauh	睡覺
pieuh grah	票價
pieuh ccien	票錢
ciiu cciannh	秋請
ccin ttieu	秦朝
jiionnx siannh	種姓
jiionnx ziix	種子
jiionnx ccuk	種族
jiionnh xxiik	種植
jiionnh xxiioh	種樹
jiionnh tten	種田
jiionnx diiw	種豬
jiionnx mrax	種馬
gei kaux	稽攷
keix xiiux	稽首
ziak biin	積分
kunnh dann	空當
kunnh kyet	空缺
kunnh hhren	空閑
kunn gren	空閒
lip hhrah	立夏
dwnnx crie	等差
dwp viinnh	答應
zet sriannx	節省
grenx ieh	簡易
ttuwn xiiok	純束
soh jit	素質
grip iiwx	給予
genn gua	經過
ben hhauh	編号
zunnx vieuh	總要
iiann kkuuonx	羊圈
kkieu criiwx	翹楚
kkieuh qqiet	翹舌
kkieuh kiix	翹起
kkieu xiiux	翹首
xiannh xxiiannh	聖上
xiann tteuh	聲調
ppwih kih	背棄
pronnh ziix	胖子
ccih xiiuh	自首
jih xieux	至少
iiwh hhuaih	與會
bran sri	班師/般師
ban ruunh	般運
xxiiak iiak	芍藥
hrua piiih	花費
piiann piii	芳菲
ttra grix	茶几
hha hrua	荷花
ppwt cci	荸薺
hhruanx gniex	莞爾
mannx cannx	莽蒼
ga ttrak	菏澤
ppret kret	菝葜/菝𦸉
hhrua kkrieu	華僑
hhrua hhrax	華夏
