hVD GTC	一代
hVD fDC	一共
hVD NTC	一再
hVD OMC	一切
hVD AcC	一半
hVD GAA	一同
hVD ipC	一向
hVD cJA	一如
hVD GvC	一定
hVD EOC	一帶
hVD GLC	一度
hVD IVL	一律
hVD Q1A	一心
hVD ayB	一手
hVD CqA	一旁
hVD EcC	一旦
hVD NkB	一早
hVD ZHA	一時
hVD eIC	一氣
hVD IyA	一流
hVD LwD	一直
hVD QfC	一線
hVD JGC	一致
hVD dJB	一舉
hVD AdA	一般
hVD eHB	一起
hVD aVA	一身
hVD IfA	一連
hVD AgA	一邊
hVD LVC	一陣
hVD DfC	一面
hVD GzA	一頭
hVD FMB	一體
hVD PMA	一齊
LpB AKA	丈夫
Q3A dED	三角
ZpB ITA	上來
ZpB eJC	上去
ZpC QHA	上司
ZpB LpA	上場
ZpB jED	上學
ZpC PxA	上層
ZpB VeA	上山
ZpB gcC	上岸
ZpB ZHB	上市
ZpC IyA	上流
ZpC lyA	上游
ZpB AdA	上班
ZpC eAA	上空
ZpC ExB	上等
ZpC d1H	上級
ZpC hIA	上衣
ZpB elK	上課
ZpC aVA	上身
ZpC AgA	上邊
ZpB DaA	上門
ZpB LVC	上陣
ZpC DfC	上面
ZpB DnB	上馬
jnB PxA	下層
jnB ZDD	下屬
jnB AnA	下巴
jnB RVI	下旬
jnB aVA	下身
jnB PTC	下載
jnB AgA	下邊
jnB DfC	下面
AXD d1E	不禁
AXD hiC	不要
AXD OqD	不錯
eyA IwA	丘陵
ZwA QpC	丞相
CvB CQA	並排
CvB jrA	並行
CvB NVC	並進
hnA GzA	丫頭
JBA dgA	中堅
JBA LpA	中場
JBA HgA	中年
JBA lDA	中庸
JBA Q1A	中心/忠心
JBA QuC	中性
JBA IyA	中流
JBA LuA	中程
JBA I1D	中立
JBA ExB	中等
JBC exB	中肯
JBA SpA	中裝
JBA GLA	中途
JBA BDA	中鋒
XKB cVA	主人
XKB IwD	主力
XKB GAB	主動
XKB LpA	主場
XKB CyB	主婦
XKB NTB	主宰
XKB GkC	主導
XKB RuD	主席
XKB LKA	主廚
XKB hHC	主意
XKB LHA	主持
XKB djC	主教
XKB XGB	主旨
XKB ffM	主權
XKB IyA	主流
XKB lfB	主演
XKB dcJ	主管
XKB gFG	主義
XKB hiC	主要
XKB dEB	主講
XKB CeC	主辦
XKB FMB	主體
HTB XGC	乃至
dyB kII	久違
XHA PgA	之前
C9D IwD	乏力
C9D DIC	乏味
eYD dOC	乞丐
loB iJB	也許
cKB GqA	乳糖
cKB JJA	乳豬
cKB IqD	乳酪
ffE eaI	乾坤
dcA DnA	乾媽
dcA jcB	乾旱
dcA jqD	乾涸
dcA PuB	乾淨
dcA QkB	乾燥
dcA EoA	乾爹
dcA VpB	乾爽
dcA ONK	乾脆
dcA ilK	乾貨
IcK IVI	亂倫
IhB dgD	了結
cGC ayB	二手
cGC jLA	二胡
jLC IGC	互利
jLC UJC	互助
jLC GAB	互動
jLC jMK	互惠
jLC jcK	互換
jLC ALB	互補
jLC BpC	互訪
djA AKC	交付
djA GTC	交代
